location,depot,district,region,created_at
Kambuzuma South,KARIBA DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-07-22
San Souci Rd Area,MARONDERA DEPOT,HR EAST DISTRICT,NORTHERN REGION,2024-09-05
Burma Valley,VICTORIA FALLS DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-11-28
Southern Granite,KADOMA RURAL DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-06-21
Chadcombe,PLUMTREE DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-08-27
Newlands East,ZVISHAVANE DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-12-06
Parkridge Estate,BULAWAYO ENVIRONS  DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-07-17
Arda Transau,MARONDERA DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-09-09
Anderson school,NYANGA  DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-08-30
Avondale,NORTON DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-03-15
Bothashof,MVURWI DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-01-02
Pomona,BEITBRIDGE DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-03-07
Greendale - Part,NYANGA  DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-10-11
Meyrick Park,MABVUKU DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-03-24
4 Brigade,MARONDERA RURAL DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-03-23
Avenues,CHIVHU DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-10-04
Tafara,MABELREIGN DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-01-13
Grobbie Park,KAROI DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-03-08
Unit J,GWERU URBAN DEPOT,HWANGE DISTRICT,HARARE REGION,2024-10-28
Paradise Park,MUTARE URBAN  DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-09-06
Upper Reaches Rd,BROMLEY DEPOT,MARONDERA DISTRICT ,EASTERN REGION,2024-06-01
Glen Norah,NKETA DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-04-22
Chadcombe,KARIBA DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-01-27
Jerusalem,WARREN PARK DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-04-27
Seki Rd Area,SHURUGWI DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-01-06
Bikita Minerals,CHIVHU DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-01-28
All of Masvingo Province,REDCLIFF DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-04-05
"Seke Unit B, Makoni",HWANGE DEPOT,CHINHOYI DISTRICT ,WESTERN REGION,2024-03-12
3-2 Battalion,MVURWI DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-11-14
S Mazorodze Areas,RUTENGA  DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-01-07
Lusaka,WATERFALLS DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-07-28
Highfield,NKETA DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-02-22
Greengrove,MVUMA DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-09-18
Haig Park,MABELREIGN DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-11-07
Hatlands Farm,KUWADZANA DEPOT,BINDURA  DISTRICT ,WESTERN REGION,2024-02-14
Buhera,NKAYI DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-12-22
Buffalo Range,RUTENGA  DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-04-12
4 Brigade,KARIBA DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-02-12
Matidoda,MVURWI DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-08-01
Greendale - Part,BINGA DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-05-02
Monavale,CHIVHU DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-01-10
"Murisa T/Ship, Dema",KARIBA DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-08-31
Epworth,BROMLEY DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-07-15
Cotswold Hills,KADOMA RURAL DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-02-05
Parts of Unit K,CHEGUTU RURAL DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-01-16
Kensington,BINDURA DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-12-22
Glenview,NKETA DEPOT,GWANDA DISTRICT,HARARE REGION,2024-04-03
Lake Chivero,GLENVIEW DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-08-17
Rambabvu,MUTOKO DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-06-28
Mayfield Park,MARONDERA RURAL DEPOT,CHINHOYI DISTRICT ,WESTERN REGION,2024-07-28
Guzha,MT DARWIN DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-01-03
Queensdale,RUWA DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-01-29
Grobbie Park,GWERU URBAN DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-05-01
Amby,CHIMANIMANI  DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-03-16
Strathaven,VICTORIA FALLS DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-06-09
Mufakose,MARONDERA RURAL DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-01-11
Barrington Rd Area,MVURWI DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-06-26
Bothashof,NKAYI DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-11-28
Upper Reaches Rd,TURK MINE DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-03-25
3 Brigade,RUWA DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-07-15
Birthday Mine,BULAWAYO ENVIRONS  DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-06-24
Mabelreign,MASVINGO  DEPOT,GWANDA DISTRICT,HARARE REGION,2024-05-29
Borrowdale Brook,CENTENARY DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-11-11
Dzivaresekwa,CHEGUTU RURAL DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-10-10
Meyrick Park,CHIREDZI  DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-01-29
Highfield,MABVUKU DEPOT,HWANGE DISTRICT,HARARE REGION,2024-07-01
Barrington Rd Area,NEMBUDZIYA DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-04-22
Meyrick Park,GWERU ENVIRONS DEPOT,CHITUNGWIZA DISTRICT,SOUTHERN REGION,2024-03-07
Warren Park - Part,CHEGUTU DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-12-20
Queensdale,ZVISHAVANE DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-10-28
Barrington Rd Area,MASVINGO  DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-12-24
Anderson school,KWEKWE URBAN DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-02-11
Rolf Valley N,MIDDLE SABI  DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-04-03
Surface Investments,CHIVHU DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-12-16
Mt Hampden,MUTORASHANGA DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-05-26
Greystone Park,BYO EAST URBAN  DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-12-19
Colne Valley,MASHAVA  DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-08-12
Sherwood Park - Part,MARONDERA RURAL DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-05-08
"Police Flats, Unit B",BROMLEY DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-05-04
Colne Valley,RUSAPE  DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-07-02
Surface Investments,GLENVIEW DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-02-14
"Murisa T/Ship, Dema",BINDURA DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-03-19
Pension Farm,MARONDERA RURAL DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-05-21
Colne Valley,MVURWI DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-01-28
Stoneridge Rd,MUTARE ENVIRONS  DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-02-01
Glen Norah A - Part,GOKWE DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-05-09
Quinnington S,MUTARE ENVIRONS  DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-03-01
Colne Valley,MASVINGO  DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-12-15
Stanbury Park,MUTARE ENVIRONS  DEPOT,GWERU DISTRICT ,HARARE REGION,2024-12-22
Tynwald South,BYO EAST URBAN  DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-12-28
Buhera,ENTUMBANE DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-08-19
Adams Barracks,CENTENARY DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-04-17
Africa University,MVURWI DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-06-08
Hunyani Poort,KARIBA DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-06-24
Bangala,GWERU ENVIRONS DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-04-22
Seki Rd Area,MIDDLE SABI  DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-06-03
Queensdale,BINDURA DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-05-03
Bumba,NKAYI DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-11-07
Kambuzuma South,MUTORASHANGA DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-03-19
Colray,ZENGEZA DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-02-16
Little Norfolk,MABELREIGN DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-03-21
Ballantyne Park,MIDDLE SABI  DEPOT,GWERU DISTRICT ,HARARE REGION,2024-03-31
Machipisa,FILABUSI DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-04-06
"Seke Unit A, B, C, D, E",MHANGURA DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-07-01
Warren Park - Part,RUTENGA  DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-10-10
Manyame Park,NEMBUDZIYA DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-06-27
Avonlea West,CHEGUTU RURAL DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-01-01
Ingwe Farm,CHEGUTU RURAL DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-11-29
Northwood,GWERU ENVIRONS DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-01-02
Warren Park - Part,MATAGA DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-04-10
Budiriro,NKAYI DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-10-30
Sherwood Park - Part,MARONDERA DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-08-26
Hat-Twentydales -Part,MT DARWIN DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-05-05
3-2 Battalion,GUTU  DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-11-12
Bothashof,ESIGODINI DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-04-05
Malvern,CHIMANIMANI  DEPOT,GWANDA DISTRICT,HARARE REGION,2024-03-15
Malvern,CHINHOYI DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-10-23
Stoneridge Rd,MARONDERA RURAL DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-02-15
Birthday Mine,RUTENGA  DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-12-03
Pomona,ESIGODINI DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-04-01
Bonda Irrigation,GLENVIEW DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-07-05
Kutsaga,VICTORIA FALLS DEPOT,GWERU DISTRICT ,HARARE REGION,2024-08-10
Manyame Park,RUSAPE  DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-01-25
Hatcliffe,RUTENGA  DEPOT,HR EAST DISTRICT,HARARE REGION,2024-05-17
Athlone - Part,CHEGUTU DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-04-09
Rambabvu,CHEGUTU RURAL DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-05-15
Waterfalls,CONCESSION DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-11-04
Zengeza 5 Ext,ESIGODINI DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-09-09
Glenview - Part,KADOMA DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-04-03
Haig Park,CHIVHU DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-12-11
St Mary’s,MASHAVA  DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-09-02
Colne Valley,BORROWDALE DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-07-31
Chishawasha,RUTENGA  DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-03-19
Colray,NKETA DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-07-08
Art Farm,ZVISHAVANE DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-08-17
Grobbie Park,NYANGA  DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-03-14
Highlands - Part,MUTARE URBAN  DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-01-15
Town Centre,MIDDLE SABI  DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-08-27
Parkridge,NEMBUDZIYA DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-09-13
Marimba Park,JURU DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-06-25
Logan Park,MABELREIGN DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-08-04
Mayambara,JURU DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-12-10
Safron Area,ESIGODINI DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-09-30
Colne Valley,BYO EAST URBAN  DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-09-26
Coronation Park,HWANGE DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-03-21
All of Masvingo Province,MUTORASHANGA DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-10-26
Groombridge,CHIVHU DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-04-07
Getwyn,MASVINGO  DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-08-22
Colray,BEITBRIDGE DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-08-27
Tafara,CHIMANIMANI  DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-06-04
Unit J,CHIMANIMANI  DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-03-04
Kintyre,CHEGUTU DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-04-14
Bannockburn,BINDURA RURAL DEPOT,HWANGE DISTRICT,HARARE REGION,2024-06-15
Sunridge,MVUMA DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-05-05
Vainona,GUTU  DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-04-24
Jerusalem,ENTUMBANE DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-04-21
Jerusalem,VICTORIA FALLS DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-05-16
Jerusalem,KAROI DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-06-09
S Mazorodze Areas,RUWA DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-04-02
Mabelreign,MUTARE ENVIRONS  DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-08-22
Warren Park,JURU DEPOT,MARONDERA DISTRICT ,EASTERN REGION,2024-06-19
Bannockburn,CHIPINGE  DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-03-21
Colne Valley,ESIGODINI DEPOT,KADOMA DISTRICT ,EASTERN REGION,2024-07-08
Spring Heights,CHIVHU DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-02-09
Borrowdale,REDCLIFF DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-12-01
Somerby Area,NKAYI DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-02-04
Sentosa,CHIPINGE  DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-12-27
Mandalay Park,NEMBUDZIYA DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-01-11
Chishawasha,GLENVIEW DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-01-03
Mandara,KADOMA RURAL DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-04-08
Upper Mt Hampden,MATAGA DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-04-06
Bumba,MT DARWIN DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-01-11
Parkridge,BORROWDALE DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-02-01
Kintyre,MUTORASHANGA DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-03-24
Sewage Works,ZVISHAVANE DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-01-23
Glen Norah,MT DARWIN DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-07-16
Kensington,HWANGE DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-01-14
Greendale - Part,HWANGE DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-03-31
Groombridge,GWERU ENVIRONS DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-04-23
Valencedene,VICTORIA FALLS DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-06-06
Glen Lorne,SHURUGWI DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-09-03
Greendcroft,KAROI DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-08-04
3 Brigade,CHIVHU DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-01-05
Marimba Park,MT DARWIN DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-10-07
Crowborough Estate,KAROI DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-03-04
Alex Park - Part,ZVISHAVANE DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2024-09-16
Kambuzuma,BINGA DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-04-12
Sewage Works,FILABUSI DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-08-06
Mandara,SOUTHERTON DEPOT,GWANDA DISTRICT,HARARE REGION,2024-03-28
Grobbie Park,SOUTHERTON DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-10-29
Malvern,NKAYI DEPOT,HWANGE DISTRICT,HARARE REGION,2024-10-05
Chikurubi,CHEGUTU DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-12-18
Bende,GWANDA DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-03-10
Ambleside,CHIVHU DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-08-12
Kensington,WARREN PARK DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-04-16
Matidoda,MT DARWIN DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-01-07
Glenview,MASVINGO  DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-08-28
Matidoda,PLUMTREE DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-08-21
Avonlea West,MUTOKO DEPOT,HR EAST DISTRICT,HARARE REGION,2024-07-25
Uplands,MATAGA DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-05-02
Kambuzuma,GUTU  DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-09-02
Anderson school,CHIREDZI  DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-11-24
Waterfalls,HWANGE DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-09-24
Groombridge,MVURWI DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-12-04
Bikita,CBD DEPOT,HR NORTH DISTRICT,WESTERN REGION,2024-07-02
Reiforntein - Part,FILABUSI DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-01-31
San Souci Rd Area,PLUMTREE DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-11-11
Greendale - Part,RUTENGA  DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-01-20
Glen Norah,GLENVIEW DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-04-08
Southlea Park,CONCESSION DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-06-02
Chikurubi,BINDURA RURAL DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-12-27
Warren Park,RUWA DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-02-20
Ashbritle,ESIGODINI DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-10-16
Bothashof,FILABUSI DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-09-05
Alex Park - Part,NYANGA  DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-12-03
"Seke Unit A, B, C, D, E",MABVUKU DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-03-08
Startmore Farm,MUTOKO DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-08-06
Helensvale,MUTORASHANGA DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-10-06
Greendale - Part,NKETA DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-06-30
Chisipite,BULAWAYO ENVIRONS  DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-08-16
Stoneridge Rd,GUTU  DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-09-27
Rolf Valley South,BINDURA RURAL DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-08-01
Amalinda Farm,FILABUSI DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-05-05
Mandara,MUTARE ENVIRONS  DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-08-06
Tynwald South,MARONDERA DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-12-27
Buffalo Range,KADOMA DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-08-28
All of Masvingo Province,CHIPINGE  DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-06-30
Belgravia,MIDDLE SABI  DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-01-31
Induna,GWERU URBAN DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-11-16
Hatcliffe,SHURUGWI DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-11-28
Colray,CHIPINGE  DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-08-28
Chishawasha,GLENVIEW DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-03-22
Warren Park E,MHANGURA DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-05-03
Machipisa,NYANGA  DEPOT,HR EAST DISTRICT,NORTHERN REGION,2024-09-29
Highlands - Part,MIDDLE SABI  DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-01-08
Chikurubi,ZVISHAVANE DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-07-19
The Grange,KWEKWE URBAN DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-08-17
Komani,NKETA DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-01-21
Ingwe Farm,BYO EAST URBAN  DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-10-17
Little Norfolk,BORROWDALE DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-04-09
Sentosa,CHEGUTU DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-01-29
All of Masvingo Province,KADOMA DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-10-21
Cotswold Hills,CHEGUTU DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-11-11
4 Brigade,MHANGURA DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-11-19
4 Brigade,PLUMTREE DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-01-05
Bikita,BINDURA DEPOT,HR EAST DISTRICT,WESTERN REGION,2024-10-19
Tafara,RUTENGA  DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-01-09
Colne Valley,GWANDA DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-04-08
Colray,PLUMTREE DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-01-19
Pomona,WATERFALLS DEPOT,GWERU DISTRICT ,HARARE REGION,2024-09-17
Hatfield West,RUTENGA  DEPOT,HWANGE DISTRICT,HARARE REGION,2024-11-28
Avonlea West,CONCESSION DEPOT,HWANGE DISTRICT,HARARE REGION,2024-03-07
Burma Valley,NKAYI DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-02-10
"Seke Unit F, G Old",BEITBRIDGE DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-08-07
Quinnington S,MVURWI DEPOT,KWEKWE DISTRICT ,SOUTHERN REGION,2024-01-05
Belgravia,BORROWDALE DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-08-19
Cranborne Park,MHANGURA DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-06-12
Cranborne Park,ESIGODINI DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-06-30
Amalinda Farm,BYO EAST URBAN  DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-07-15
Cranborne Park,MIDDLE SABI  DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-05-11
Luna,KADOMA RURAL DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-05-07
Bumba,FILABUSI DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-06-29
Amalinda Farm,REDCLIFF DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-08-16
Kingsmead,MASVINGO  DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-03-01
Lake Chivero,VICTORIA FALLS DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-02-08
Luna,CHIVHU DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-02-23
Cotswold Hills,CHIPINGE  DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-06-29
Mandara,BORROWDALE DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-07-11
Sentosa,GWANDA DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-01-10
Chikurubi,ZVISHAVANE DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-02-09
Pension Farm,PLUMTREE DEPOT,GWANDA DISTRICT,HARARE REGION,2024-08-05
Colne Valley,NORTON DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-04-07
Hatcliffe,HWANGE DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-02-20
Glen Lorne,HWANGE DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-07-20
Coronation Park,GWERU URBAN DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-07-19
Bannockburn,NEMBUDZIYA DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-08-16
