location,depot,district,region,created_at
3-2 Battalion,Mabelreign Depot,North District,Harare,2023-06-18
Old Highfields,Glen View Depot,Chitungwiza District,East,2024-02-25
Twentydales Ext.,CBD Depot,South District,South,2023-08-08
Chadcombe,CBD Depot,Chitungwiza District,East,2023-08-28
Komani,CBD Depot,North District,West,2023-01-29
Mutare Rd,Kuwadzana Depot,East District,Harare,2023-04-23
Crowborough,Warren Park Depot,South District,South,2023-05-03
Mayambara,Warren Park Depot,Chitungwiza District,South,2023-08-14
Surface Investments,Kuwadzana Depot,Chitungwiza District,Harare,2023-03-05
Luna,Southerton Depot,East District,South,2023-05-03
Alex Park - Part,CBD Depot,East District,East,2023-12-12
Burma Valley,Makoni Depot,North District,South,2023-05-29
Malvern,Warren Park Depot,North District,Harare,2023-10-17
Kingsmead,Makoni Depot,North District,Harare,2023-04-22
Glen Wood,Mabvuku Depot,North District,South,2023-01-11
Crowhill,Borrowdale Depot,Chitungwiza District,East,2023-08-16
Chishawasha,Warren Park Depot,North District,East,2023-08-27
Westlea,Southerton Depot,Chitungwiza District,Harare,2023-07-30
Quinnington S,Borrowdale Depot,East District,Harare,2023-02-15
Msasa Park,CBD Depot,North District,South,2023-01-05
Glen Wood,Kuwadzana Depot,North District,East,2023-11-26
Avenues,Warren Park Depot,South District,East,2023-11-06
Rhodesville,CBD Depot,South District,East,2023-04-30
Bikita,Borrowdale Depot,East District,South,2023-09-07
Bannockburn,Borrowdale Depot,South District,East,2023-11-05
Bangazani Dam,Mabvuku Depot,Chitungwiza District,Harare,2023-08-14
Westlea,Waterfalls Depot,North District,West,2023-11-22
Rolf Valley N,CBD Depot,Chitungwiza District,Harare,2023-05-29
Glenview - Part,CBD Depot,East District,South,2023-07-18
Mbare,Ruwa Depot,South District,West,2023-05-18
Eastlea,Mabvuku Depot,North District,Harare,2023-05-16
9 Brigade,Zengeza Depot,Chitungwiza District,South,2023-07-01
Parktown,Waterfalls Depot,Chitungwiza District,West,2023-12-08
Southern Granite,Zengeza Depot,South District,South,2023-07-28
Ridgeview,Waterfalls Depot,East District,Harare,2023-01-28
Marlborough,Warren Park Depot,Chitungwiza District,West,2023-09-22
St Mary’s,Kuwadzana Depot,South District,Harare,2023-01-20
Bangazani Dam,Southerton Depot,North District,South,2023-01-02
Bordervale,Southerton Depot,East District,West,2024-03-05
Little Norfolk,Kuwadzana Depot,North District,Harare,2023-08-16
Wilmington Park,Warren Park Depot,Chitungwiza District,Harare,2023-02-17
GDC,Glen View Depot,Chitungwiza District,South,2024-02-22
Little Norfolk,CBD Depot,South District,South,2023-08-31
Highlands - Part,Makoni Depot,North District,East,2023-01-02
Mandara,Mabelreign Depot,North District,East,2023-09-08
Coronation Park,Ruwa Depot,Chitungwiza District,Harare,2023-08-20
Chikurubi,Borrowdale Depot,Chitungwiza District,Harare,2023-12-19
Parts of Unit K,Seke,East District,East,2023-10-26
Chishawasha,Kuwadzana Depot,Chitungwiza District,East,2023-06-13
Mandara,Borrowdale Depot,East District,Harare,2023-12-06
Pension Farm,Southerton Depot,East District,West,2023-03-06
27 Miles,Mabvuku Depot,Chitungwiza District,Harare,2023-10-30
Haig Park,Borrowdale Depot,Chitungwiza District,South,2023-12-18
Newlands,Zengeza Depot,North District,East,2023-04-09
Parkridge Estate,Kuwadzana Depot,South District,South,2023-09-20
Merwede,Ruwa Depot,East District,West,2023-10-14
"Murisa T/Ship, Dema",Ruwa Depot,North District,South,2024-02-04
"Seke Unit F, G Old",Zengeza Depot,South District,East,2023-06-09
Bordervale,Seke,Chitungwiza District,Harare,2023-08-19
Logan Park,Makoni Depot,North District,Harare,2023-06-09
Strathaven,Seke,South District,East,2023-03-18
Pension Farm,Borrowdale Depot,East District,Harare,2023-02-03
Monavale,Borrowdale Depot,South District,West,2023-09-07
Lincoln Green,Kuwadzana Depot,North District,West,2023-07-12
Dzivaresekwa,Waterfalls Depot,Chitungwiza District,West,2023-06-09
Widdecombe,Glen View Depot,Chitungwiza District,South,2023-02-08
Southern Granite,Kuwadzana Depot,East District,South,2023-04-01
Chishawasha,Makoni Depot,East District,Harare,2023-11-17
Groombridge,Kuwadzana Depot,South District,South,2023-08-25
Seki Rd N,Southerton Depot,South District,East,2023-12-25
Kambuzuma South,Glen View Depot,South District,Harare,2023-07-15
Helensvale S,Mabvuku Depot,Chitungwiza District,Harare,2023-03-24
Greengrove,Southerton Depot,East District,South,2023-02-22
Msasa Park,Glen View Depot,East District,South,2024-01-19
Glen Norah A - Part,Mabvuku Depot,Chitungwiza District,East,2023-07-27
Bonda Irrigation,Seke,Chitungwiza District,South,2024-03-03
Mt Pleasant & Heights,Glen View Depot,East District,East,2023-06-30
All of Masvingo Province,Kuwadzana Depot,Chitungwiza District,Harare,2023-06-21
Helensvale S,Southerton Depot,North District,Harare,2023-07-20
Southlea Park,Ruwa Depot,North District,East,2023-05-20
Adams Barracks,Mabelreign Depot,East District,South,2023-09-19
Mabelreign,Borrowdale Depot,North District,South,2023-01-27
Surface Investments,Kuwadzana Depot,Chitungwiza District,East,2023-08-30
Mandara,Waterfalls Depot,South District,Harare,2023-03-08
Crowborough Estate,Zengeza Depot,East District,Harare,2023-09-18
Kensington,Zengeza Depot,North District,West,2023-05-07
Manyame Park,Borrowdale Depot,South District,Harare,2024-01-22
Colne Valley,Glen View Depot,East District,South,2023-07-30
,,,,2023-09-02
